,district,data_street,rooms,area,price_eur,period,cur_floor,total_floor,lift,seria,house_type,facilities,len,lon,wifi
266,Вецмилгравис,Зиемельблазмас 42,1,36.0,220,30,5,9,0,602-я,Панельный,Лоджия,57.03806193685916,24.097579573305737,0
267,Ильгюциемс,Стурес 2,1,18.0,125,30,4,5,0,М. сем.,Кирпичный,Парковочное место,56.969275,24.06946,0
268,Кипсала,Оглю 28,2,47.0,800,30,2,3,0,Рекон.,Деревянный,,56.9604045,24.0818608,0
269,Межапарк,Кокнесес пр. 29,2,65.0,850,30,2,2,0,Рекон.,Деревянный,"Балкон, Парковочное место",57.0037118,24.1573933,0
270,Межапарк,Кокнесес пр. 29,3,90.0,1250,30,1,2,0,Рекон.,Деревянный,Терраса,57.0037118,24.1573933,0
271,Пурвциемс,Пурвциема 50,1,40.0,30,1,2,5,0,М. сем.,Панельный,Лоджия,56.95453,24.1855798,1
272,центр,Томсона 39/1,2,68.0,650,30,2,9,1,Нов.,Панельный,Лоджия,56.9691771,24.1296477,0
273,Пурвциемс,Браслас 19,2,40.0,420,30,3,6,1,Нов.,Каменный,,56.9637223,24.1657467,0
274,Тейка,Земгала гатве 77,1,18.0,350,30,2,4,0,Рекон.,Кирпичный,,56.9759019,24.163685,0
275,Ильгюциемс,Дзирциема 49,2,48.0,200,30,1,5,0,Лит. пр.,Панельный,,56.9591584,24.0515451,0
276,Иманта,Имантас 3b,3,68.0,350,30,5,5,0,Лит. пр.,Панельный,Лоджия,56.9538187,24.0263714,0
277,центр,Бруниниеку 49,2,46.4,750,30,4,4,1,Нов.,Кирпично-панельный,,56.9554655,24.133448,0
278,Вецрига,Пелду 24,3,72.0,540,30,2,4,0,Дов. дом,Каменный,,56.9460259,24.108012,0
279,Саркандаугава,Виестура пр. 33,2,50.0,270,30,9,9,0,Спец. пр.,Кирпично-панельный,Лоджия,57.0001949,24.1294266,0
280,центр,Валдемара 39,2,73.0,650,30,3,6,0,Дов. дом,Каменный,,56.9585249,24.1170851,0
281,центр,Бирзниека-Упиша 20,2,65.0,540,30,3,5,0,Дов. дом,Каменный,,56.9492499,24.1290842,0
282,Дарзциемс,Стопиню 8,3,93.0,690,30,4,4,0,Нов.,Кирпично-панельный,"Терраса, Парковочное место",56.949235,24.1685243,0
283,Межапарк,Кемпес 2,2,51.0,650,30,10,12,1,Нов.,Панельный,"Балкон, Парковочное место",56.9942718,24.1689254,0
284,Зиепниеккалнс,Гарозес 17,1,38.0,195,30,5,5,0,М. сем.,Панельный,"Лоджия, Парковочное место",56.9179557,24.1007081,0
285,Плявниеки,Ясмуйжас 24,4,96.0,600,30,4,4,0,Нов.,Панельно-кирпичный,"Лоджия, Парковочное место",56.937259,24.2153316,0
286,Шампетерис-Плескодале,Лиелирбес 13,3,90.0,850,30,21,30,0,Нов.,Панельно-кирпичный,Парковочное место,56.9334921,24.0433471,0
287,Шампетерис-Плескодале,Лиелирбес 13,3,93.0,1000,30,25,30,1,Нов.,Панельно-кирпичный,Парковочное место,56.9334921,24.0433471,0
288,центр,Блауманя 28a,3,101.0,1100,30,4,6,1,Рекон.,Кирпичный,,56.9524759,24.1249539,0
289,Пурвциемс,Лиелвардес 101,1,48.0,250,30,1,12,0,104-я,Кирпично-панельный,Лоджия,56.9606486,24.1994768,0
290,центр,Стабу 30,5,123.0,1350,30,2,5,0,Дов. дом,Каменный,,56.9563932,24.1277751,0
291,Кенгарагс,Аглонас 29,2,45.0,300,30,5,5,0,Хрущ.,Кирпичный,,56.9127356,24.1839897,0
292,Югла,Бривибас гатве 361,2,42.0,400,30,4,6,0,Хрущ.,Кирпичный,Балкон,56.9875004,24.2174713,0
293,Тейка,Ропажу 14,3,62.0,680,30,9,10,1,Нов.,Панельный,Лоджия,56.9759925,24.1693412,0
294,Иманта,Анниньмуйжас бульвар 38,2,67.0,500,30,12,18,1,Нов.,Каменный,"Лоджия, Парковочное место",56.9612295,24.0164898,0
295,центр,Бруниниеку 121,1,20.0,350,30,3,5,0,Рекон.,Каменный,,56.9498399,24.1444706,0
296,Пурвциемс,Вайдавас 2,1,35.0,30,1,4,5,0,Спец. пр.,Кирпично-панельный,,56.9650233,24.176631,0
297,Агенскалнс,Кугю 26,3,82.0,800,30,1,5,1,Рекон.,Кирпично-панельный,,56.9456343,24.0922473,0
298,центр,Весетас 24,2,53.0,900,30,6,9,1,Нов.,Панельно-кирпичный,"Терраса, Парковочное место",56.9696635,24.1286429,0
299,Шампетерис-Плескодале,Лиелирбес 13,3,90.0,850,30,21,30,1,Нов.,Панельный,,56.9334921,24.0433471,0
300,Иманта,Курземес пр. 12,2,49.0,300,30,4,5,0,Лит. пр.,Панельный,,56.9564,24.0337764,0
301,центр,Републикас пл. 3,3,125.0,1000,30,4,7,1,Нов.,Панельный,Парковочное место,56.9551153,24.0989652,0
302,центр,Валдемара 147 k-3,2,55.0,350,30,2,5,0,Сталинка,Кирпичный,"Балкон, Парковочное место",56.97293269527641,24.133895019081514,0
303,Агенскалнс,Алисес 8,2,46.0,400,30,3,5,0,Хрущ.,Панельный,,56.9468918,24.0667192,0
304,Вецмилгравис,Скую 5,2,51.0,300,30,4,5,0,Лит. пр.,Панельный,Лоджия,57.0304116,24.1025402,0
305,центр,Дзирнаву 70,2,49.0,650,30,2,5,0,Дов. дом,Каменный,,56.9525895,24.1219096,0
306,р-н ул.Краста,Лубанас 14,3,61.0,320,30,6,9,0,467-я,Панельный,,56.9332083,24.1626285,0
307,Кенгарагс,Прушу 23,2,50.0,370,30,1,3,0,Сталинка,Каменный,,56.910578,24.194168,0
308,центр,Стабу 81,4,110.0,750,30,1,5,0,Дов. дом,Каменный,,56.95235163320452,24.13752430420914,0
309,Межциемс,Хипократа 17,3,61.0,300,30,9,9,1,602-я,Панельный,Лоджия,56.9660004,24.2372381,0
310,центр,Чака 66a,3,74.0,450,30,5,6,0,Дов. дом,Кирпично-панельный,,56.960342,24.1397706,0
311,Пурвциемс,Илукстес 34,1,40.0,300,30,3,9,1,119-я,Панельно-кирпичный,Лоджия,56.9457118,24.1963466,0
312,Зиепниеккалнс,Озолциема 12/2,2,58.0,320,30,3,10,1,119-я,Панельный,"Балкон, Парковочное место",56.9013502,24.0854595,0
313,Торнякалнс,Мукусалас 29,2,61.0,720,30,4,4,1,Рекон.,Кирпично-панельный,,56.9371114,24.1020828,0
314,Агенскалнс,Вилипа 8,3,59.0,450,30,9,9,1,467-я,Панельный,Лоджия,56.9482513,24.0573109,0
315,Югла,Юглас 3,2,45.0,295,30,5,5,0,Лит. пр.,Кирпичный,"Балкон, Парковочное место",56.9881815,24.2433013,0
